hora_de_publicacion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha
2023-09-05 12:25:00,375.0,1,0,1.0,0,379.0,,,,,0.0,2023-09-05
2023-09-05 20:20:00,420.0,2,0,,0,396.0,,,3.0,,0.0,2023-09-05
2023-10-05 09:58:00,523.0,6,0,2.0,0,502.0,,,,,0.0,2023-10-05
2023-05-15 11:29:00,2135.0,3,0,14.0,0,2082.0,,,,,0.0,2023-05-15
2023-05-22 14:49:00,638.0,0,0,4.0,0,636.0,,,,,-2.0,2023-05-22
2023-05-22 14:51:00,413.0,0,0,,0,406.0,,,,,-2.0,2023-05-22
2023-05-22 14:51:00,358.0,0,0,,1,372.0,,,,,-2.0,2023-05-22
2023-05-22 14:52:00,333.0,0,0,,0,326.0,,,,,-2.0,2023-05-22
2023-05-22 14:52:00,319.0,0,0,,0,309.0,,,,,-2.0,2023-05-22
2023-05-22 14:52:00,306.0,0,0,,0,298.0,,,,,-2.0,2023-05-22
2023-05-24 06:08:00,770.0,3,0,7.0,1,816.0,,,,,-2.0,2023-05-24
2023-05-25 09:48:00,798.0,4,0,4.0,0,822.0,,,,,0.0,2023-05-25
2023-05-25 14:46:00,552.0,0,0,1.0,0,561.0,,,,,-2.0,2023-05-25
2023-05-29 06:45:00,791.0,0,0,8.0,0,826.0,,,,,-2.0,2023-05-29
2023-03-06 13:15:00,3672.0,2,0,14.0,0,3257.0,,,,,0.0,2023-03-06
2023-12-06 17:52:00,479.0,3,0,,0,490.0,,,,,-2.0,2023-12-06
2023-12-06 20:02:00,444.0,1,0,1.0,2,436.0,,,,,-2.0,2023-12-06
2023-06-13 08:21:00,538.0,1,0,7.0,0,559.0,,,,,-2.0,2023-06-13
2023-06-14 11:07:00,485.0,0,0,8.0,1,524.0,,,,,-2.0,2023-06-14
2023-06-16 10:58:00,1098.0,0,0,9.0,0,1151.0,,,,,-2.0,2023-06-16
2023-06-22 09:44:00,753.0,0,0,6.0,0,775.0,,,,,-2.0,2023-06-22
2023-01-04 10:57:00,1394.0,6,0,3.0,0,1364.0,,,,,0.0,2023-01-04
