hora_de_publicacion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha,nombre_archivo,objeto_principal,color_dominante,emocion_primaria
2023-02-14 19:21:00,1029.0,4,0,2.0,0,1069.0,,,,,-2.0,2023-02-14,IMG_20230214_212251_695.jpg,web_site,#612670,fear
2023-02-14 19:21:00,1029.0,4,0,2.0,0,1069.0,,,,,-2.0,2023-02-14,IMG_20230214_212233_315.jpg,web_site,#643682,fear
2023-02-14 19:21:00,1029.0,4,0,2.0,0,1069.0,,,,,-2.0,2023-02-14,IMG_20230214_212218_155.jpg,envelope,#6e61ad,happy
2023-02-14 19:21:00,1029.0,4,0,2.0,0,1069.0,,,,,-2.0,2023-02-14,IMG_20230214_204359_214.jpg,lipstick,#929bad,happy
2023-02-14 18:43:00,1392.0,5,0,8.0,1,1401.0,,,,,-2.0,2023-02-14,IMG_20230214_212509_153.jpg,web_site,#896fb2,neutral
2023-02-14 18:43:00,1392.0,5,0,8.0,1,1401.0,,,,,-2.0,2023-02-14,IMG_20230214_212315_147.jpg,web_site,#612a78,fear
2023-02-14 18:43:00,1392.0,5,0,8.0,1,1401.0,,,,,-2.0,2023-02-14,IMG_20230214_212251_695.jpg,web_site,#612670,fear
2023-02-14 18:43:00,1392.0,5,0,8.0,1,1401.0,,,,,-2.0,2023-02-14,IMG_20230214_212233_315.jpg,web_site,#643682,fear
2023-02-14 18:43:00,1392.0,5,0,8.0,1,1401.0,,,,,-2.0,2023-02-14,IMG_20230214_212218_155.jpg,envelope,#6e61ad,happy
2023-02-14 18:43:00,1392.0,5,0,8.0,1,1401.0,,,,,-2.0,2023-02-14,IMG_20230214_204359_214.jpg,lipstick,#929bad,happy
2023-10-02 11:18:00,928.0,3,0,4.0,0,953.0,,,,,-2.0,2023-10-02,img_20231002_111757_68}2.JPG,web_site,#6a1d51,angry
2023-10-02 11:18:00,928.0,3,0,4.0,0,953.0,,,,,-2.0,2023-10-02,img_20231002_112036_587.JPG,web_site,#732957,neutral
2023-10-02 11:18:00,928.0,3,0,4.0,0,953.0,,,,,-2.0,2023-10-02,img_20231002_195655_366.JPG,web_site,#415352,happy
2023-10-02 11:17:00,1345.0,2,0,20.0,0,1357.0,,,,,0.0,2023-10-02,img_20231002_111757_68}2.JPG,web_site,#6a1d51,angry
2023-10-02 11:17:00,1345.0,2,0,20.0,0,1357.0,,,,,0.0,2023-10-02,img_20231002_112036_587.JPG,web_site,#732957,neutral
2023-10-02 11:17:00,1345.0,2,0,20.0,0,1357.0,,,,,0.0,2023-10-02,img_20231002_195655_366.JPG,web_site,#415352,happy
2023-01-25 14:27:00,,0,0,,0,,,,,,0.0,2023-01-25,IMG_20230125_162752_863.jpg,web_site,#404351,happy
2023-01-25 14:27:00,,0,0,,0,,,,,,0.0,2023-01-25,IMG_20230125_162719_529.jpg,web_site,#dac3ce,sad
2023-01-25 14:27:00,,0,0,,0,,,,,,0.0,2023-01-25,IMG_20230125_162138_882.jpg,web_site,#718387,happy
