"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Toques en stickers",Seguimientos,"Clics en el enlace"
17964957071414990,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,23,"08/04/2023 20:07",,"Historia de Instagram",,Total,277,2,0,2,3,274,,,
17964366287443181,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Mis compras",4,"08/04/2023 20:02",,"Historia de Instagram",,Total,297,4,0,1,0,283,,,
17998333198883768,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Salud!,6,"08/04/2023 19:59",,"Historia de Instagram",,Total,312,2,0,1,0,309,,,
17986038284263695,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","El presidente municipal dando un discurso",8,"08/04/2023 19:57",,"Historia de Instagram",,Total,343,1,0,3,0,333,,,
17925669140745151,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Me tocó asistir a la inauguración",9,"08/04/2023 19:56",,"Historia de Instagram",,Total,469,1,0,1,2,473,,,
17891323760857337,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"08/04/2023 07:38",,"Historia de Instagram",,Total,547,3,0,6,0,538,,,
18003645379797478,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Logros en Youtube",3,"08/03/2023 14:50",,"Historia de Instagram",,Total,409,3,0,4,0,378,,,
18002706016801540,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"08/03/2023 13:31",,"Historia de Instagram",,Total,711,3,0,19,0,736,,,
18379422070058477,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"07/27/2023 19:47",,"Historia de Instagram",,Total,721,1,0,2,0,722,,,
17969726594335064,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","La última y 
nos vamos",10,"07/24/2023 15:16",,"Historia de Instagram",,Total,1510,2,0,10,0,1487,,,
17986234571228640,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"07/22/2023 07:19",,"Historia de Instagram",,Total,555,3,0,7,0,577,,,
18304590826099394,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Navidad en Julio
Gracias @monicagamezwriter",0,"07/22/2023 06:23",,"Historia de Instagram",,Total,611,2,0,,0,608,,,
17894885714838940,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,4,"07/21/2023 21:50",,"Historia de Instagram",,Total,465,1,0,,0,431,,,
17991814586108957,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Mientras abordo el siguiente vuelo",0,"07/21/2023 17:40",,"Historia de Instagram",,Total,406,1,0,3,0,398,,,
18013353838689725,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,6,"07/21/2023 17:33",,"Historia de Instagram",,Total,451,1,0,3,0,414,,,
17974825862419588,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","En camino a cumplir un sueño",0,"07/21/2023 17:33",,"Historia de Instagram",,Total,724,2,0,6,0,733,,1,
17874748949878124,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"07/20/2023 16:36",https://instagram.com/stories/jessonirica/3151400181535219198,"Historia de Instagram",,Total,335,0,0,1,0,293,,,3
17973676196406473,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"07/20/2023 16:36",https://instagram.com/stories/jessonirica/3151400107698592304,"Historia de Instagram",,Total,363,0,0,,0,303,,,
17849572332016851,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"07/20/2023 16:36",https://instagram.com/stories/jessonirica/3151400083296258055,"Historia de Instagram",,Total,407,1,0,,0,348,,,
17963197148562079,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"07/20/2023 16:36",https://instagram.com/stories/jessonirica/3151400083178670176,"Historia de Instagram",,Total,621,2,0,,0,544,,,
17963046668562127,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"07/19/2023 08:50",,"Historia de Instagram",,Total,492,1,0,2,0,462,,,
18012757243705713,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"07/18/2023 20:46",,"Historia de Instagram",,Total,308,2,0,3,0,292,,,
17969746913321821,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"07/18/2023 20:43",,"Historia de Instagram",,Total,435,1,0,3,0,423,,,
17852869742981811,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿ Te estás perdiendo de lo que comparto en mi canal?",0,"07/17/2023 19:08",,"Historia de Instagram",,Total,719,2,0,6,0,750,,,
17869900055901912,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"07/17/2023 08:06",,"Historia de Instagram",,Total,917,2,0,12,1,941,,,
17856843605960823,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Te invito a unirte a mi canal para tener contenido exclusivo sobre el poder de los sueños",0,"07/14/2023 16:40",,"Historia de Instagram",,Total,830,4,0,7,0,855,,,
17855777558964003,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,25,"07/12/2023 14:23",,"Historia de Instagram",,Total,331,4,0,4,1,348,,,
18371776633048933,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"07/12/2023 14:18",,"Historia de Instagram",,Total,379,1,0,2,0,287,,,
18305565391106696,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"07/12/2023 14:07",,"Historia de Instagram",,Total,507,1,0,10,0,400,,,
18066628033402030,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"07/10/2023 08:30",,"Historia de Instagram",,Total,672,0,0,5,0,692,,,
