"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,"Me gusta","Veces que se compartió",Respuestas,Alcance,"Visitas al perfil",Navegación,Seguimientos,"Clics en el enlace","Toques en stickers"
17994711058627085,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","En la recta final del Guadalupe -Reyes",0,"01/01/2023 15:32",,"Historia de Instagram",,Total,3,0,0
18211375150205780,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/06/2023 19:11",,"Historia de Instagram",,Total,2,0,0
17971189724066659,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,11,"01/06/2023 19:11",,"Historia de Instagram",,Total,3,0,0
17885790410708570,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"01/06/2023 19:11",,"Historia de Instagram",,Total,3,0,0
17948057150313341,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/06/2023 19:11",,"Historia de Instagram",,Total,2,0,0
17921845331639343,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/06/2023 19:11",,"Historia de Instagram",,Total,4,0,0
17976783022819107,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/06/2023 12:38",,"Historia de Instagram",,Total,6,0,0
17921446742644118,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,39,"01/05/2023 13:19",,"Historia de Instagram",,Total,14,0,0
18252891403133810,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Sobre el Arquetipo de la bruja",15,"01/03/2023 20:22",,"Historia de Instagram",,Total,8,0,0
17974040296969337,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,13,"01/03/2023 20:16",,"Historia de Instagram",,Total,3,0,0
17973503881980868,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Para el frío",0,"01/03/2023 18:36",,"Historia de Instagram",,Total,7,0,0
17953813415188610,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Faltan 303 días 
para Halloween",0,"01/01/2023 18:34",,"Historia de Instagram",,Total,5,0,0
